nome,categoria,origem
"Achocolatado, pó",Açúcares e doces,TACO
"Açúcar, cristal",Açúcares e doces,TACO
"Açúcar, mascavo",Açúcares e doces,TACO
"Açúcar, refinado",Açúcares e doces,TACO
"Chocolate, ao leite",Açúcares e doces,TACO
"Chocolate, ao leite, com castanha do Pará",Açúcares e doces,TACO
"Chocolate, ao leite, dietético",Açúcares e doces,TACO
"Chocolate, meio amargo",Açúcares e doces,TACO
Cocada branca,Açúcares e doces,TACO
"Doce, de abóbora, cremoso",Açúcares e doces,TACO
"Doce, de leite, cremoso",Açúcares e doces,TACO
"Geléia, mocotó, natural",Açúcares e doces,TACO
Glicose de milho,Açúcares e doces,TACO
Maria mole,Açúcares e doces,TACO
"Maria mole, coco queimado",Açúcares e doces,TACO
Marmelada,Açúcares e doces,TACO
"Mel, de abelha",Açúcares e doces,TACO
Melado,Açúcares e doces,TACO
Quindim,Açúcares e doces,TACO
Rapadura,Açúcares e doces,TACO
Achocolatado (Ovomaltine),Açúcares e doces,TBCA 7.2
Achocolatado em pó,Açúcares e doces,TBCA 7.2
Achocolatado em pó (Nescau),Açúcares e doces,TBCA 7.2
Achocolatado em pó (Toddy),Açúcares e doces,TBCA 7.2
Açúcar,Açúcares e doces,TBCA 7.2
Açúcar,Açúcares e doces,TBCA 7.2
Açúcar cristal,Açúcares e doces,TBCA 7.2
Açúcar light (20% sacarose + edulcorante),Açúcares e doces,TBCA 7.2
Açúcar light (50% sacarose ou maltodextrina + edulcorante),Açúcares e doces,TBCA 7.2
Açúcar mascavo,Açúcares e doces,TBCA 7.2
Açúcar refinado,Açúcares e doces,TBCA 7.2
Aletria doce,Açúcares e doces,TBCA 7.2
Algodão doce,Açúcares e doces,TBCA 7.2
Ameixa de queijo,Açúcares e doces,TBCA 7.2
Baba de moça,Açúcares e doces,TBCA 7.2
Bala de caramelo,Açúcares e doces,TBCA 7.2
Bala de coco caseira,Açúcares e doces,TBCA 7.2
Bala de frutas,Açúcares e doces,TBCA 7.2
Bala dura,Açúcares e doces,TBCA 7.2
Bala gelatina,Açúcares e doces,TBCA 7.2
Banana flambada,Açúcares e doces,TBCA 7.2
Beijinho com coco ralado caseiro,Açúcares e doces,TBCA 7.2
Beijinho de lata (Moça),Açúcares e doces,TBCA 7.2
Bem casado com recheio de doce de leite e açúcar polvilhado,Açúcares e doces,TBCA 7.2
Biscoito  goiabinha com recheio de chocolate,Açúcares e doces,TBCA 7.2
Biscoito goiabinha com recheio de goiaba,Açúcares e doces,TBCA 7.2
Biscoito goiabinha integral com recheio de goiaba,Açúcares e doces,TBCA 7.2
Bolinrosa em lata (Moça),Açúcares e doces,TBCA 7.2
Bolo de chocolate com recheio de coco,Açúcares e doces,TBCA 7.2
Bolo de rolo,Açúcares e doces,TBCA 7.2
Bomba (profiteroles) com recheio de sorvete de creme e cobertura de chocolate,Açúcares e doces,TBCA 7.2
Bomba com recheio de brigadeiro e cobertura de chocolate,Açúcares e doces,TBCA 7.2
Bombom de avelã,Açúcares e doces,TBCA 7.2
Bombom de chocolate,Açúcares e doces,TBCA 7.2
Bombom de chocolate ao leite (Alpino),Açúcares e doces,TBCA 7.2
